title,description,creator,recipient,date,date-is-approximate,latitude,longitude,item-information,subject,related-publication,publisher-digital,source,original-identifier,identifier,rights,rightsstatement,type,format,language,relation,cdmid,objectid,youtubeid,object_thumb,object_download,reference_url
"Joseph Kosai (Tape 1), audio","","","","","","","","","","","","University of Washington Tacoma Community History Project","","chp1991-04audio","","http://rightsstatements.org/page/InC-EDU/1.0/?language=en","Sound","audio/mp3","","","22","tchp22","","https://digitalcollections.lib.washington.edu//utils/getthumbnail/collection/tacomacomm/id/22","https://digitalcollections.lib.washington.edu//utils/getstream/collection/tacomacomm/id/22","erika-b.github.io/tchp_dev/items/tchp22.html"
"Joseph Kosai (Tape 2), audio","","","","","","","","","","","","University of Washington Tacoma Community History Project","","chp1991-04audio","","http://rightsstatements.org/page/InC-EDU/1.0/?language=en","Sound","audio/mp3","","","23","tchp23","","https://digitalcollections.lib.washington.edu//utils/getthumbnail/collection/tacomacomm/id/23","https://digitalcollections.lib.washington.edu//utils/getstream/collection/tacomacomm/id/23","erika-b.github.io/tchp_dev/items/tchp23.html"
"Project bibliography","","","","","","","","","","","","University of Washington Tacoma Community History Project","","chp1991-04bibliography","","http://rightsstatements.org/page/InC-EDU/1.0/?language=en","Text","application/pdf","","","24","tchp24","","https://digitalcollections.lib.washington.edu//utils/getthumbnail/collection/tacomacomm/id/24","https://digitalcollections.lib.washington.edu//utils/getfile/collection/tacomacomm/id/24.pdf","erika-b.github.io/tchp_dev/items/tchp24.html"
"Why Internment? The Story of Japanese-Americans During World War II","The interview recounts Joseph Kosai&#39;s personal experiences as a Japanese American citizen forced to evacuate his Tacoma, Washington residence on May 18, 1942 in response to the issuing of Executive Order 9066. Joseph, who was eight at the time, was transported with family members, first, to an assembly center in Pinedale, California, then to Tule Lake, where Kosai&#39;s extended family was dispersed and sent to different camps. Joseph, his mother, and younger sister were sent to the Minidoka Relocation Center in Idaho, where they would remain until May 17, 1945. In the interview, Kosai recalls his impressions of life in the internment camp. He also describes his readjustment after being released from Minidoka, as well as the impact of discrimination upon his subsequent educational and career opportunities. He also discusses his involvement in the national redress movement and other civil rights issues.","","","1991","","","","","Kosai, Joseph, 1933-2008--Interviews; Minidoka Relocation Center--Personal narratives; Japanese American Citizens&#39; League; Civic leaders--Washington (State)--Tacoma--Interviews; Civil rights workers--Washington (State)--Tacoma--Interviews; Discrimination in education--Washington (State)--Tacoma; Educators--Washington (State)--Tacoma--Interviews; Japanese Americans--Washington (State)--Tacoma--Interviews; Japanese Americans--Evacuation and relocation, 1942-1945--Personal narratives; Japanese Americans--Reparations--Personal narratives; Tacoma (Wash.)--Race relations","","","University of Washington Tacoma Community History Project","","chp1991-04","","http://rightsstatements.org/page/InC-EDU/1.0/?language=en","image","cpd","","","25","tchp25","","https://digitalcollections.lib.washington.edu//utils/getthumbnail/collection/tacomacomm/id/25","","erika-b.github.io/tchp_dev/items/tchp25.html"
"Eudoro Estrada, photograph","","","","","","","","","","","","University of Washington Tacoma Community History Project","","chp1991-02photograph","","http://rightsstatements.org/page/InC-EDU/1.0/?language=en","Image","image/jpg","","","26","tchp26","","https://digitalcollections.lib.washington.edu//utils/getthumbnail/collection/tacomacomm/id/26","https://digitalcollections.lib.washington.edu//digital/iiif/tacomacomm/26/full/max/0/default.jpg","erika-b.github.io/tchp_dev/items/tchp26.html"
"Deborah Boyd, research essay","","","","","","","","","","","","University of Washington Tacoma Community History Project","","chp1991-02essay","","http://rightsstatements.org/page/InC-EDU/1.0/?language=en","Text","application/pdf","","","27","tchp27","","https://digitalcollections.lib.washington.edu//utils/getthumbnail/collection/tacomacomm/id/27","https://digitalcollections.lib.washington.edu//utils/getfile/collection/tacomacomm/id/27.pdf","erika-b.github.io/tchp_dev/items/tchp27.html"
"Eudoro Estrada, Interview trascript","","","","","","","","","","","","University of Washington Tacoma Community History Project","","chp1991-02trascript","","http://rightsstatements.org/page/InC-EDU/1.0/?language=en","Text","application/pdf","","","28","tchp28","","https://digitalcollections.lib.washington.edu//utils/getthumbnail/collection/tacomacomm/id/28","https://digitalcollections.lib.washington.edu//utils/getfile/collection/tacomacomm/id/28.pdf","erika-b.github.io/tchp_dev/items/tchp28.html"
"The Timber Challenge","The interview discusses Eudoro Estrada&#39;s life in Mexico, his struggles when he first arrived in the United States, and his efforts to start and maintain what became a successful reforestation business. Estrada also describes his family life and briefly touches upon the discrimination he encountered as a Mexican American businessman in Washington State.","","","1991","","","","","Estrada, Eudoro, 1933---Interviews; Sylvia Reforestation, Inc.; Mexican Americans--Washington (State)--Hoquiam--Interviews; Mexican Americans--Washington (State)--Tacoma--Interviews; Businessmen--Washington (State)--Hoquiam--Interviews; Businessmen--Washington (State)--Tacoma--Interviews; Foreign workers, Mexican--Washington (State); Foreign workers, Latin American--Washington (State); Discrimination in employment--Washington (State); Mexican American families--Washington (State); Mexicans--Employment--Washington (State); Reforestation--Washington (State); Washington (State)--Ethnic relations; Hoquiam (Wash.)--Ethnic relations; Tacoma (Wash.)--Ethnic relations","","","University of Washington Tacoma Community History Project","","chp1991-02","","http://rightsstatements.org/page/InC-EDU/1.0/?language=en","image","cpd","","","29","tchp29","","https://digitalcollections.lib.washington.edu//utils/getthumbnail/collection/tacomacomm/id/29","","erika-b.github.io/tchp_dev/items/tchp29.html"
"The Tacoma Rescue Mission, photograph","","","","","","","","","","","","University of Washington Tacoma Community History Project","","chp1991-07photograph","","http://rightsstatements.org/page/InC-EDU/1.0/?language=en","Image","image/jpg","","","44","tchp44","","https://digitalcollections.lib.washington.edu//utils/getthumbnail/collection/tacomacomm/id/44","https://digitalcollections.lib.washington.edu//digital/iiif/tacomacomm/44/full/max/0/default.jpg","erika-b.github.io/tchp_dev/items/tchp44.html"
"Patti R. Saunders, research essay","","","","","","","","","","","","University of Washington Tacoma Community History Project","","chp1991-07essay","","http://rightsstatements.org/page/InC-EDU/1.0/?language=en","Text","application/pdf","","","45","tchp45","","https://digitalcollections.lib.washington.edu//utils/getthumbnail/collection/tacomacomm/id/45","https://digitalcollections.lib.washington.edu//utils/getfile/collection/tacomacomm/id/45.pdf","erika-b.github.io/tchp_dev/items/tchp45.html"
"Joseph N. Ellis, interview transcript","","","","","","","","","","","","University of Washington Tacoma Community History Project","","chp1991-07trascript1","","http://rightsstatements.org/page/InC-EDU/1.0/?language=en","Text","application/pdf","","","46","tchp46","","https://digitalcollections.lib.washington.edu//utils/getthumbnail/collection/tacomacomm/id/46","https://digitalcollections.lib.washington.edu//utils/getfile/collection/tacomacomm/id/46.pdf","erika-b.github.io/tchp_dev/items/tchp46.html"
"Diana K. Jeffrey, interview transcript","","","","","","","","","","","","University of Washington Tacoma Community History Project","","chp1991-07trascript2","","http://rightsstatements.org/page/InC-EDU/1.0/?language=en","Text","application/pdf","","","47","tchp47","","https://digitalcollections.lib.washington.edu//utils/getthumbnail/collection/tacomacomm/id/47","https://digitalcollections.lib.washington.edu//utils/getfile/collection/tacomacomm/id/47.pdf","erika-b.github.io/tchp_dev/items/tchp47.html"
"Joseph N. Ellis, video","","","","","","","","","","","","University of Washington Tacoma Community History Project","","chp1991-07video","","http://rightsstatements.org/page/InC-EDU/1.0/?language=en","MovingImage","mp","","","48","tchp48","","https://digitalcollections.lib.washington.edu//utils/getthumbnail/collection/tacomacomm/id/48","","erika-b.github.io/tchp_dev/items/tchp48.html"
"The Tacoma Rescue Mission: Hope for the Homeless","The oral history interview transcript contains interviews with Joe Ellis, Executive Director of the Tacoma Rescue Mission and Diana K. Jeffery, Administrative Assistant at the Mission. Ellis gives a brief background on his life and training, as well as an overview of the history of the Tacoma Rescue Mission, including some discussion of the work and character of the superintendents who preceded him (C. M. Shaughnessy, Ray L. Marvin and G. Hanley Barker). Ellis describes the programs and services provided by the Tacoma Rescue Mission in some detail. Jeffery recounts her ten years of service with the Mission, where she started as the manager of the emergency family shelter. She describes her direct work with the clients and refers to some individuals who apparently were present at the time her interview was recorded. In addition to those for Ellis and Jeffery, release forms are included for five participants from the &quot;&quot;New Life&quot;&quot; program who also were interviewed, as well as another Mission staff member, but these interviews are not contained in the transcript.","","","1991","","","","","Tacoma Rescue Mission; Ellis, Joseph N.--Interviews; Jeffery, Diana K.--Interviews; Barker, G. Hanley; Marvin, Raymond L.; Shaughnessy, C. M., (Cornelius Mack), . b. 1895.; Smith, Gipsy, 1860-1947.; Rescue missions (Church work)--Officials and employees--Washington (State)--Tacoma--Interviews; City missions--Washington (State)--Tacoma; Church work with the poor--Washington (State)--Tacoma; Homeless persons--Services for--Washington (State)--Tacoma; Rescue missions (Church work)--Washington (State)--Tacoma; Shelters for the homeless--Washington (State)--Tacoma; Tacoma (Wash.)--Social conditions","","","University of Washington Tacoma Community History Project","","chp1991-07","","http://rightsstatements.org/page/InC-EDU/1.0/?language=en","image","cpd","","","49","tchp49","","https://digitalcollections.lib.washington.edu//utils/getthumbnail/collection/tacomacomm/id/49","","erika-b.github.io/tchp_dev/items/tchp49.html"
"Thomas Shoji Takemura, photograph","","","","","","","","","","","","University of Washington Tacoma Community History Project","","chp1991-08photograph","","http://rightsstatements.org/page/InC-EDU/1.0/?language=en","Image","image/jpg","","","50","tchp50","","https://digitalcollections.lib.washington.edu//utils/getthumbnail/collection/tacomacomm/id/50","https://digitalcollections.lib.washington.edu//digital/iiif/tacomacomm/50/full/max/0/default.jpg","erika-b.github.io/tchp_dev/items/tchp50.html"
"Susan Stout, research essay","","","","","","","","","","","","University of Washington Tacoma Community History Project","","chp1991-08essay","","http://rightsstatements.org/page/InC-EDU/1.0/?language=en","Text","application/pdf","","","51","tchp51","","https://digitalcollections.lib.washington.edu//utils/getthumbnail/collection/tacomacomm/id/51","https://digitalcollections.lib.washington.edu//utils/getfile/collection/tacomacomm/id/51.pdf","erika-b.github.io/tchp_dev/items/tchp51.html"
"Thomas Shoji Takemura, interview transcript","","","","","","","","","","","","University of Washington Tacoma Community History Project","","chp1991-08trascript","","http://rightsstatements.org/page/InC-EDU/1.0/?language=en","Text","application/pdf","","","52","tchp52","","https://digitalcollections.lib.washington.edu//utils/getthumbnail/collection/tacomacomm/id/52","https://digitalcollections.lib.washington.edu//utils/getfile/collection/tacomacomm/id/52.pdf","erika-b.github.io/tchp_dev/items/tchp52.html"
"Thomas Shoji Takemura, audio","","","","","","","","","","","","University of Washington Tacoma Community History Project","","chp1991-08audio","","http://rightsstatements.org/page/InC-EDU/1.0/?language=en","Sound","audio/mp3","","","53","tchp53","","https://digitalcollections.lib.washington.edu//utils/getthumbnail/collection/tacomacomm/id/53","https://digitalcollections.lib.washington.edu//utils/getstream/collection/tacomacomm/id/53","erika-b.github.io/tchp_dev/items/tchp53.html"
"Oral history interview with Thomas Shoji Takemura","The interview recounts Thomas Shoji Takemura&#39;s early childhood and family life on a truck gardening farm in Fife, Washington before the start of the Second World War, as well as their forced evacuation to the Assembly Center in Puyallup, Washington. Takemura&#39;s experience of camp life is recalled in some detail. During this time, neighbors agreed to take care of the family&#39;s property. Takemura eventually obtained a release to work at a U &amp; I factory processing sugar beets in Chinook, Montana, where he met his future wife. He also discusses his involvement in the national redress movement and related lecturing at local area schools.","","","1991","","","","","Takemura, Thomas Shoji--Interviews; Puyallup Assembly Center (Puyallup, Wash.)--Personal narratives; Japanese American Citizens&#39; League; Utah-Idaho Sugar Company; Japanese Americans--Washington (State)--Fife--Interviews; Civic leaders--Washington (State)--Fife--Interviews; Japanese Americans--Evacuation and relocation, 1942-1945--Personal narratives; Japanese Americans--Reparations--Personal narratives; Japanese Americans--Washington (State); World War, 1939-1945--Washington (State); Tacoma (Wash.)--Ethnic relations--History--20th century; Tacoma (Wash.)--Race relations","","","University of Washington Tacoma Community History Project","","chp1991-08","","http://rightsstatements.org/page/InC-EDU/1.0/?language=en","image","cpd","","","54","tchp54","","https://digitalcollections.lib.washington.edu//utils/getthumbnail/collection/tacomacomm/id/54","","erika-b.github.io/tchp_dev/items/tchp54.html"
"Milton Andrews, photograph","","","","","","","","","","","","University of Washington Tacoma Community History Project","","chp1992-01photograph","","http://rightsstatements.org/page/InC-EDU/1.0/?language=en","Image","image/jpg","","","59","tchp59","","https://digitalcollections.lib.washington.edu//utils/getthumbnail/collection/tacomacomm/id/59","https://digitalcollections.lib.washington.edu//digital/iiif/tacomacomm/59/full/max/0/default.jpg","erika-b.github.io/tchp_dev/items/tchp59.html"
"Robert Ewing, research essay","","","","","","","","","","","","University of Washington Tacoma Community History Project","","chp1992-01essay","","http://rightsstatements.org/page/InC-EDU/1.0/?language=en","Text","application/pdf","","","60","tchp60","","https://digitalcollections.lib.washington.edu//utils/getthumbnail/collection/tacomacomm/id/60","https://digitalcollections.lib.washington.edu//utils/getfile/collection/tacomacomm/id/60.pdf","erika-b.github.io/tchp_dev/items/tchp60.html"
"Milton Andrews, interview transcript","","","","","","","","","","","","University of Washington Tacoma Community History Project","","chp1992-01trascript1","","http://rightsstatements.org/page/InC-EDU/1.0/?language=en","Text","application/pdf","","","61","tchp61","","https://digitalcollections.lib.washington.edu//utils/getthumbnail/collection/tacomacomm/id/61","https://digitalcollections.lib.washington.edu//utils/getfile/collection/tacomacomm/id/61.pdf","erika-b.github.io/tchp_dev/items/tchp61.html"
"Hillside Community Church: A Path to Liberalism","The collection contains a lengthy interview with Milton P. Andrews Jr., in which he discusses his experiences growing up as the son of a fundamental (Free Methodist Church) preacher in Missouri, his education, religious training, and his own spiritual and philosophical shift to a more progressive brand of religion and into activism for social justice. Andrews details his controversial tenure as the leader of several churches in Ohio, New York and Washington State, including Epworth Lesourd Methodist Church in Tacoma, where his stance against the Vietnam War led to his forced resignation in 1970. The interview only briefly touches on Andrews&#39;s involvement with the Hillside Community Church.","","","1992","","","","","Andrews, Milton P.--Interviews; Hillside Community Church (Tacoma, Wash.); Religious leaders--Washington (State)--Tacoma--Interviews; Church and social problems--Washington (State)--Tacoma; Methodist Church--United States--Clergy--Interviews; Political activists--Washington (State)--Tacoma--Interviews; Tacoma (Wash.)--Church history--20th century","","","University of Washington Tacoma Community History Project","","chp1992-01","","http://rightsstatements.org/page/InC-EDU/1.0/?language=en","image","cpd","","","62","tchp62","","https://digitalcollections.lib.washington.edu//utils/getthumbnail/collection/tacomacomm/id/62","","erika-b.github.io/tchp_dev/items/tchp62.html"
"Randy Brooks, research essay","","","","","","","","","","","","University of Washington Tacoma Community History Project","","chp1992-02essay","","http://rightsstatements.org/page/InC-EDU/1.0/?language=en","Text","application/pdf","","","63","tchp63","","https://digitalcollections.lib.washington.edu//utils/getthumbnail/collection/tacomacomm/id/63","https://digitalcollections.lib.washington.edu//utils/getfile/collection/tacomacomm/id/63.pdf","erika-b.github.io/tchp_dev/items/tchp63.html"
"Howard Jorgenson, interview transcript","","","","","","","","","","","","University of Washington Tacoma Community History Project","","chp1992-02trascript1","","http://rightsstatements.org/page/InC-EDU/1.0/?language=en","Text","application/pdf","","","64","tchp64","","https://digitalcollections.lib.washington.edu//utils/getthumbnail/collection/tacomacomm/id/64","https://digitalcollections.lib.washington.edu//utils/getfile/collection/tacomacomm/id/64.pdf","erika-b.github.io/tchp_dev/items/tchp64.html"
"Howard Jorgenson, audio","","","","","","","","","","","","University of Washington Tacoma Community History Project","","chp1992-02audio1","","http://rightsstatements.org/page/InC-EDU/1.0/?language=en","Sound","audio/mp3","","","65","tchp65","","https://digitalcollections.lib.washington.edu//utils/getthumbnail/collection/tacomacomm/id/65","https://digitalcollections.lib.washington.edu//utils/getstream/collection/tacomacomm/id/65","erika-b.github.io/tchp_dev/items/tchp65.html"
"George Masten, interview transcript","","","","","","","","","","","","University of Washington Tacoma Community History Project","","chp1992-02trascript2","","http://rightsstatements.org/page/InC-EDU/1.0/?language=en","Text","application/pdf","","","66","tchp66","","https://digitalcollections.lib.washington.edu//utils/getthumbnail/collection/tacomacomm/id/66","https://digitalcollections.lib.washington.edu//utils/getfile/collection/tacomacomm/id/66.pdf","erika-b.github.io/tchp_dev/items/tchp66.html"
"George Masten, audio","","","","","","","","","","","","University of Washington Tacoma Community History Project","","chp1992-02audio2","","http://rightsstatements.org/page/InC-EDU/1.0/?language=en","Sound","audio/mp3","","","67","tchp67","","https://digitalcollections.lib.washington.edu//utils/getthumbnail/collection/tacomacomm/id/67","https://digitalcollections.lib.washington.edu//utils/getstream/collection/tacomacomm/id/67","erika-b.github.io/tchp_dev/items/tchp67.html"
"Gary Moore, interview transcript","","","","","","","","","","","","University of Washington Tacoma Community History Project","","chp1992-02trascript3","","http://rightsstatements.org/page/InC-EDU/1.0/?language=en","Text","application/pdf","","","68","tchp68","","https://digitalcollections.lib.washington.edu//utils/getthumbnail/collection/tacomacomm/id/68","https://digitalcollections.lib.washington.edu//utils/getfile/collection/tacomacomm/id/68.pdf","erika-b.github.io/tchp_dev/items/tchp68.html"
"Gary Moore, audio","","","","","","","","","","","","University of Washington Tacoma Community History Project","","chp1992-02audio3","","http://rightsstatements.org/page/InC-EDU/1.0/?language=en","Sound","audio/mp3","","","69","tchp69","","https://digitalcollections.lib.washington.edu//utils/getthumbnail/collection/tacomacomm/id/69","https://digitalcollections.lib.washington.edu//utils/getstream/collection/tacomacomm/id/69","erika-b.github.io/tchp_dev/items/tchp69.html"
"Norm Schut, interview transcript","","","","","","","","","","","","University of Washington Tacoma Community History Project","","chp1992-02trascript4","","http://rightsstatements.org/page/InC-EDU/1.0/?language=en","Text","application/pdf","","","70","tchp70","","https://digitalcollections.lib.washington.edu//utils/getthumbnail/collection/tacomacomm/id/70","https://digitalcollections.lib.washington.edu//utils/getfile/collection/tacomacomm/id/70.pdf","erika-b.github.io/tchp_dev/items/tchp70.html"
"Norm Schut, audio","","","","","","","","","","","","University of Washington Tacoma Community History Project","","chp1992-02audio4","","http://rightsstatements.org/page/InC-EDU/1.0/?language=en","Sound","audio/mp3","","","71","tchp71","","https://digitalcollections.lib.washington.edu//utils/getthumbnail/collection/tacomacomm/id/71","https://digitalcollections.lib.washington.edu//utils/getstream/collection/tacomacomm/id/71","erika-b.github.io/tchp_dev/items/tchp71.html"
"Esther Stohl, interview transcript","","","","","","","","","","","","University of Washington Tacoma Community History Project","","chp1992-02trascript5","","http://rightsstatements.org/page/InC-EDU/1.0/?language=en","Text","application/pdf","","","72","tchp72","","https://digitalcollections.lib.washington.edu//utils/getthumbnail/collection/tacomacomm/id/72","https://digitalcollections.lib.washington.edu//utils/getfile/collection/tacomacomm/id/72.pdf","erika-b.github.io/tchp_dev/items/tchp72.html"
"Esther Stohl, audio","","","","","","","","","","","","University of Washington Tacoma Community History Project","","chp1992-02audio5","","http://rightsstatements.org/page/InC-EDU/1.0/?language=en","Sound","audio/mp3","","","73","tchp73","","https://digitalcollections.lib.washington.edu//utils/getthumbnail/collection/tacomacomm/id/73","https://digitalcollections.lib.washington.edu//utils/getstream/collection/tacomacomm/id/73","erika-b.github.io/tchp_dev/items/tchp73.html"
"The History of Council 28: The Washington Federation of State Employees","Union leaders and activists, Norm Schut, George Masten, Howard Jorgenson, Gary Moore and Esther Stohl discuss their early lives, how they came to be involved with organizing, and their roles in the development of the WFSE local in Washington State.","","","1992","","","","","Jorgenson, Howard--Interviews; Masten, George D.--Interviews; Moore, Gary (Gary L.)--Interviews; Schut, Norman--Interviews; Stohl, Esther--Interviews; Washington Federation of State Employees; Labor unions--Washington (State)--Officials and employees--Interviews; Labor movement--Washington (State)--History; Labor unions--United States--Officials and employees--Interviews; Washington (State)--Economic conditions","","","University of Washington Tacoma Community History Project","","chp1992-02","","http://rightsstatements.org/page/InC-EDU/1.0/?language=en","text","cpd","","","74","tchp74","","https://digitalcollections.lib.washington.edu//utils/getthumbnail/collection/tacomacomm/id/74","","erika-b.github.io/tchp_dev/items/tchp74.html"
"The Tacoma Smelter, photograph 1","","","","","","","","","","","","University of Washington Tacoma Community History Project","","chp1992-04photo1","","http://rightsstatements.org/page/InC-EDU/1.0/?language=en","Image","image/jpg","","","75","tchp75","","https://digitalcollections.lib.washington.edu//utils/getthumbnail/collection/tacomacomm/id/75","https://digitalcollections.lib.washington.edu//digital/iiif/tacomacomm/75/full/max/0/default.jpg","erika-b.github.io/tchp_dev/items/tchp75.html"
"The Tacoma Smelter, photograph 2","","","","","","","","","","","","University of Washington Tacoma Community History Project","","chp1992-04photo2","","http://rightsstatements.org/page/InC-EDU/1.0/?language=en","Image","image/jpg","","","76","tchp76","","https://digitalcollections.lib.washington.edu//utils/getthumbnail/collection/tacomacomm/id/76","https://digitalcollections.lib.washington.edu//digital/iiif/tacomacomm/76/full/max/0/default.jpg","erika-b.github.io/tchp_dev/items/tchp76.html"
"Angela Cookson, research essay","","","","","","","","","","","","University of Washington Tacoma Community History Project","","chp1992-04essay","","http://rightsstatements.org/page/InC-EDU/1.0/?language=en","Text","application/pdf","","","77","tchp77","","https://digitalcollections.lib.washington.edu//utils/getthumbnail/collection/tacomacomm/id/77","https://digitalcollections.lib.washington.edu//utils/getfile/collection/tacomacomm/id/77.pdf","erika-b.github.io/tchp_dev/items/tchp77.html"
"Curtis Dungey, interview transcript","","","","","","","","","","","","University of Washington Tacoma Community History Project","","chp1992-04trascript1","","http://rightsstatements.org/page/InC-EDU/1.0/?language=en","Text","application/pdf","","","78","tchp78","","https://digitalcollections.lib.washington.edu//utils/getthumbnail/collection/tacomacomm/id/78","https://digitalcollections.lib.washington.edu//utils/getfile/collection/tacomacomm/id/78.pdf","erika-b.github.io/tchp_dev/items/tchp78.html"
