objectid,cdmid,title,interviewee,interviewer,date,description,subject,location,latitude,longitude,source,identifier,type,format,language,rights,rightsstatement,youtubeid,fileid,collectionid
tchp20,20,"Arlene Mihara, research essay",,,,,,,,,University of Washington Tacoma Community History Project,chp1991-04essay,Text,application/pdf,,,http://rightsstatements.org/page/InC-EDU/1.0/?language=en,,,
tchp21,21,"Joseph Kosai, Interview trascript",,,,,,,,,University of Washington Tacoma Community History Project,chp1991-04trascript,Text,application/pdf,,,http://rightsstatements.org/page/InC-EDU/1.0/?language=en,,,
tchp22,22,"Joseph Kosai (Tape 1), audio",,,,,,,,,University of Washington Tacoma Community History Project,chp1991-04audio,Sound,audio/mp3,,,http://rightsstatements.org/page/InC-EDU/1.0/?language=en,,,
tchp23,23,"Joseph Kosai (Tape 2), audio",,,,,,,,,University of Washington Tacoma Community History Project,chp1991-04audio,Sound,audio/mp3,,,http://rightsstatements.org/page/InC-EDU/1.0/?language=en,,,
tchp24,24,Project bibliography,,,,,,,,,University of Washington Tacoma Community History Project,chp1991-04bibliography,Text,application/pdf,,,http://rightsstatements.org/page/InC-EDU/1.0/?language=en,,,
tchp25,25,Why Internment? The Story of Japanese-Americans During World War II,"Kosai, Joseph, 1934-1938","Mihara, Arlene",1991,"The interview recounts Joseph Kosai's personal experiences as a Japanese American citizen forced to evacuate his Tacoma, Washington residence on May 18, 1942 in response to the issuing of Executive Order 9066. Joseph, who was eight at the time, was transported with family members, first, to an assembly center in Pinedale, California, then to Tule Lake, where Kosai's extended family was dispersed and sent to different camps. Joseph, his mother, and younger sister were sent to the Minidoka Relocation Center in Idaho, where they would remain until May 17, 1945. In the interview, Kosai recalls his impressions of life in the internment camp. He also describes his readjustment after being released from Minidoka, as well as the impact of discrimination upon his subsequent educational and career opportunities. He also discusses his involvement in the national redress movement and other civil rights issues.","Kosai, Joseph, 1933-2008--Interviews; Minidoka Relocation Center--Personal narratives; Japanese American Citizens' League; Civic leaders--Washington (State)--Tacoma--Interviews; Civil rights workers--Washington (State)--Tacoma--Interviews; Discrimination in education--Washington (State)--Tacoma; Educators--Washington (State)--Tacoma--Interviews; Japanese Americans--Washington (State)--Tacoma--Interviews; Japanese Americans--Evacuation and relocation, 1942-1945--Personal narratives; Japanese Americans--Reparations--Personal narratives; Tacoma (Wash.)--Race relations",United States--Washington (State)--Tacoma,,,University of Washington Tacoma Community History Project,chp1991-04,image,cpd,,,http://rightsstatements.org/page/InC-EDU/1.0/?language=en,,,
tchp26,26,"Eudoro Estrada, photograph",,,,,,,,,University of Washington Tacoma Community History Project,chp1991-02photograph,Image,image/jpg,,,http://rightsstatements.org/page/InC-EDU/1.0/?language=en,,,
tchp27,27,"Deborah Boyd, research essay",,,,,,,,,University of Washington Tacoma Community History Project,chp1991-02essay,Text,application/pdf,,,http://rightsstatements.org/page/InC-EDU/1.0/?language=en,,,
tchp28,28,"Eudoro Estrada, Interview trascript",,,,,,,,,University of Washington Tacoma Community History Project,chp1991-02trascript,Text,application/pdf,,,http://rightsstatements.org/page/InC-EDU/1.0/?language=en,,,
tchp29,29,The Timber Challenge,"Estrada, Eudoro, 1933-","Boyd, Deborah D.",1991,"The interview discusses Eudoro Estrada's life in Mexico, his struggles when he first arrived in the United States, and his efforts to start and maintain what became a successful reforestation business. Estrada also describes his family life and briefly touches upon the discrimination he encountered as a Mexican American businessman in Washington State.","Estrada, Eudoro, 1933---Interviews; Sylvia Reforestation, Inc.; Mexican Americans--Washington (State)--Hoquiam--Interviews; Mexican Americans--Washington (State)--Tacoma--Interviews; Businessmen--Washington (State)--Hoquiam--Interviews; Businessmen--Washington (State)--Tacoma--Interviews; Foreign workers, Mexican--Washington (State); Foreign workers, Latin American--Washington (State); Discrimination in employment--Washington (State); Mexican American families--Washington (State); Mexicans--Employment--Washington (State); Reforestation--Washington (State); Washington (State)--Ethnic relations; Hoquiam (Wash.)--Ethnic relations; Tacoma (Wash.)--Ethnic relations",United States--Washington (State)--Tacoma; United States--Washington (State)--Hoqiuam; United States--Washington (State),,,University of Washington Tacoma Community History Project,chp1991-02,image,cpd,,,http://rightsstatements.org/page/InC-EDU/1.0/?language=en,,,
tchp44,44,"The Tacoma Rescue Mission, photograph",,,,,,,,,University of Washington Tacoma Community History Project,chp1991-07photograph,Image,image/jpg,,,http://rightsstatements.org/page/InC-EDU/1.0/?language=en,,,
tchp45,45,"Patti R. Saunders, research essay",,,,,,,,,University of Washington Tacoma Community History Project,chp1991-07essay,Text,application/pdf,,,http://rightsstatements.org/page/InC-EDU/1.0/?language=en,,,
tchp46,46,"Joseph N. Ellis, interview transcript",,,,,,,,,University of Washington Tacoma Community History Project,chp1991-07trascript1,Text,application/pdf,,,http://rightsstatements.org/page/InC-EDU/1.0/?language=en,,,
tchp47,47,"Diana K. Jeffrey, interview transcript",,,,,,,,,University of Washington Tacoma Community History Project,chp1991-07trascript2,Text,application/pdf,,,http://rightsstatements.org/page/InC-EDU/1.0/?language=en,,,
tchp48,48,"Joseph N. Ellis, video",,,,,,,,,University of Washington Tacoma Community History Project,chp1991-07video,MovingImage,mp,,,http://rightsstatements.org/page/InC-EDU/1.0/?language=en,,,
tchp49,49,The Tacoma Rescue Mission: Hope for the Homeless,"Ellis, Joseph N.; Jeffrey, Diana K.","Saunders, Patti R.",1991,"The oral history interview transcript contains interviews with Joe Ellis, Executive Director of the Tacoma Rescue Mission and Diana K. Jeffery, Administrative Assistant at the Mission. Ellis gives a brief background on his life and training, as well as an overview of the history of the Tacoma Rescue Mission, including some discussion of the work and character of the superintendents who preceded him (C. M. Shaughnessy, Ray L. Marvin and G. Hanley Barker). Ellis describes the programs and services provided by the Tacoma Rescue Mission in some detail. Jeffery recounts her ten years of service with the Mission, where she started as the manager of the emergency family shelter. She describes her direct work with the clients and refers to some individuals who apparently were present at the time her interview was recorded. In addition to those for Ellis and Jeffery, release forms are included for five participants from the """"New Life"""" program who also were interviewed, as well as another Mission staff member, but these interviews are not contained in the transcript.","Tacoma Rescue Mission; Ellis, Joseph N.--Interviews; Jeffery, Diana K.--Interviews; Barker, G. Hanley; Marvin, Raymond L.; Shaughnessy, C. M., (Cornelius Mack), . b. 1895.; Smith, Gipsy, 1860-1947.; Rescue missions (Church work)--Officials and employees--Washington (State)--Tacoma--Interviews; City missions--Washington (State)--Tacoma; Church work with the poor--Washington (State)--Tacoma; Homeless persons--Services for--Washington (State)--Tacoma; Rescue missions (Church work)--Washington (State)--Tacoma; Shelters for the homeless--Washington (State)--Tacoma; Tacoma (Wash.)--Social conditions",United States--Washington (State)--Tacoma,,,University of Washington Tacoma Community History Project,chp1991-07,image,cpd,,,http://rightsstatements.org/page/InC-EDU/1.0/?language=en,,,
tchp50,50,"Thomas Shoji Takemura, photograph",,,,,,,,,University of Washington Tacoma Community History Project,chp1991-08photograph,Image,image/jpg,,,http://rightsstatements.org/page/InC-EDU/1.0/?language=en,,,
tchp51,51,"Susan Stout, research essay",,,,,,,,,University of Washington Tacoma Community History Project,chp1991-08essay,Text,application/pdf,,,http://rightsstatements.org/page/InC-EDU/1.0/?language=en,,,
tchp52,52,"Thomas Shoji Takemura, interview transcript",,,,,,,,,University of Washington Tacoma Community History Project,chp1991-08trascript,Text,application/pdf,,,http://rightsstatements.org/page/InC-EDU/1.0/?language=en,,,
tchp53,53,"Thomas Shoji Takemura, audio",,,,,,,,,University of Washington Tacoma Community History Project,chp1991-08audio,Sound,audio/mp3,,,http://rightsstatements.org/page/InC-EDU/1.0/?language=en,,,
tchp54,54,Oral history interview with Thomas Shoji Takemura,"Takemura, Thomas Shoji","Stout, Susan",1991,"The interview recounts Thomas Shoji Takemura's early childhood and family life on a truck gardening farm in Fife, Washington before the start of the Second World War, as well as their forced evacuation to the Assembly Center in Puyallup, Washington. Takemura's experience of camp life is recalled in some detail. During this time, neighbors agreed to take care of the family's property. Takemura eventually obtained a release to work at a U & I factory processing sugar beets in Chinook, Montana, where he met his future wife. He also discusses his involvement in the national redress movement and related lecturing at local area schools.","Takemura, Thomas Shoji--Interviews; Puyallup Assembly Center (Puyallup, Wash.)--Personal narratives; Japanese American Citizens' League; Utah-Idaho Sugar Company; Japanese Americans--Washington (State)--Fife--Interviews; Civic leaders--Washington (State)--Fife--Interviews; Japanese Americans--Evacuation and relocation, 1942-1945--Personal narratives; Japanese Americans--Reparations--Personal narratives; Japanese Americans--Washington (State); World War, 1939-1945--Washington (State); Tacoma (Wash.)--Ethnic relations--History--20th century; Tacoma (Wash.)--Race relations",United States--Washington (State) --Tacoma; United States--Washington (State)--Fife,,,University of Washington Tacoma Community History Project,chp1991-08,image,cpd,,,http://rightsstatements.org/page/InC-EDU/1.0/?language=en,,,
tchp59,59,"Milton Andrews, photograph",,,,,,,,,University of Washington Tacoma Community History Project,chp1992-01photograph,Image,image/jpg,,,http://rightsstatements.org/page/InC-EDU/1.0/?language=en,,,
tchp60,60,"Robert Ewing, research essay",,,,,,,,,University of Washington Tacoma Community History Project,chp1992-01essay,Text,application/pdf,,,http://rightsstatements.org/page/InC-EDU/1.0/?language=en,,,
tchp61,61,"Milton Andrews, interview transcript",,,,,,,,,University of Washington Tacoma Community History Project,chp1992-01trascript1,Text,application/pdf,,,http://rightsstatements.org/page/InC-EDU/1.0/?language=en,,,
tchp62,62,Hillside Community Church: A Path to Liberalism,"Andrews, Milton P.","Ewing, Robert, 1947-",1992,"The collection contains a lengthy interview with Milton P. Andrews Jr., in which he discusses his experiences growing up as the son of a fundamental (Free Methodist Church) preacher in Missouri, his education, religious training, and his own spiritual and philosophical shift to a more progressive brand of religion and into activism for social justice. Andrews details his controversial tenure as the leader of several churches in Ohio, New York and Washington State, including Epworth Lesourd Methodist Church in Tacoma, where his stance against the Vietnam War led to his forced resignation in 1970. The interview only briefly touches on Andrews's involvement with the Hillside Community Church.","Andrews, Milton P.--Interviews; Hillside Community Church (Tacoma, Wash.); Religious leaders--Washington (State)--Tacoma--Interviews; Church and social problems--Washington (State)--Tacoma; Methodist Church--United States--Clergy--Interviews; Political activists--Washington (State)--Tacoma--Interviews; Tacoma (Wash.)--Church history--20th century",United States--Washington (State)--Tacoma,,,University of Washington Tacoma Community History Project,chp1992-01,image,cpd,,,http://rightsstatements.org/page/InC-EDU/1.0/?language=en,,,
tchp63,63,"Randy Brooks, research essay",,,,,,,,,University of Washington Tacoma Community History Project,chp1992-02essay,Text,application/pdf,,,http://rightsstatements.org/page/InC-EDU/1.0/?language=en,,,
tchp64,64,"Howard Jorgenson, interview transcript",,,,,,,,,University of Washington Tacoma Community History Project,chp1992-02trascript1,Text,application/pdf,,,http://rightsstatements.org/page/InC-EDU/1.0/?language=en,,,
tchp65,65,"Howard Jorgenson, audio",,,,,,,,,University of Washington Tacoma Community History Project,chp1992-02audio1,Sound,audio/mp3,,,http://rightsstatements.org/page/InC-EDU/1.0/?language=en,,,
tchp66,66,"George Masten, interview transcript",,,,,,,,,University of Washington Tacoma Community History Project,chp1992-02trascript2,Text,application/pdf,,,http://rightsstatements.org/page/InC-EDU/1.0/?language=en,,,
tchp67,67,"George Masten, audio",,,,,,,,,University of Washington Tacoma Community History Project,chp1992-02audio2,Sound,audio/mp3,,,http://rightsstatements.org/page/InC-EDU/1.0/?language=en,,,
tchp68,68,"Gary Moore, interview transcript",,,,,,,,,University of Washington Tacoma Community History Project,chp1992-02trascript3,Text,application/pdf,,,http://rightsstatements.org/page/InC-EDU/1.0/?language=en,,,
tchp69,69,"Gary Moore, audio",,,,,,,,,University of Washington Tacoma Community History Project,chp1992-02audio3,Sound,audio/mp3,,,http://rightsstatements.org/page/InC-EDU/1.0/?language=en,,,
tchp70,70,"Norm Schut, interview transcript",,,,,,,,,University of Washington Tacoma Community History Project,chp1992-02trascript4,Text,application/pdf,,,http://rightsstatements.org/page/InC-EDU/1.0/?language=en,,,
tchp71,71,"Norm Schut, audio",,,,,,,,,University of Washington Tacoma Community History Project,chp1992-02audio4,Sound,audio/mp3,,,http://rightsstatements.org/page/InC-EDU/1.0/?language=en,,,
tchp72,72,"Esther Stohl, interview transcript",,,,,,,,,University of Washington Tacoma Community History Project,chp1992-02trascript5,Text,application/pdf,,,http://rightsstatements.org/page/InC-EDU/1.0/?language=en,,,
tchp73,73,"Esther Stohl, audio",,,,,,,,,University of Washington Tacoma Community History Project,chp1992-02audio5,Sound,audio/mp3,,,http://rightsstatements.org/page/InC-EDU/1.0/?language=en,,,
tchp74,74,The History of Council 28: The Washington Federation of State Employees,"Schut, Norm; Masten, George D.; Jorgenson, Howard; Moore, Gary; Stohl, Esther","Brooks, Randy",1992,"Union leaders and activists, Norm Schut, George Masten, Howard Jorgenson, Gary Moore and Esther Stohl discuss their early lives, how they came to be involved with organizing, and their roles in the development of the WFSE local in Washington State.","Jorgenson, Howard--Interviews; Masten, George D.--Interviews; Moore, Gary (Gary L.)--Interviews; Schut, Norman--Interviews; Stohl, Esther--Interviews; Washington Federation of State Employees; Labor unions--Washington (State)--Officials and employees--Interviews; Labor movement--Washington (State)--History; Labor unions--United States--Officials and employees--Interviews; Washington (State)--Economic conditions",United States--Washington (State),,,University of Washington Tacoma Community History Project,chp1992-02,text,cpd,,,http://rightsstatements.org/page/InC-EDU/1.0/?language=en,,,
tchp75,75,"The Tacoma Smelter, photograph 1",,,,,,,,,University of Washington Tacoma Community History Project,chp1992-04photo1,Image,image/jpg,,,http://rightsstatements.org/page/InC-EDU/1.0/?language=en,,,
tchp76,76,"The Tacoma Smelter, photograph 2",,,,,,,,,University of Washington Tacoma Community History Project,chp1992-04photo2,Image,image/jpg,,,http://rightsstatements.org/page/InC-EDU/1.0/?language=en,,,
tchp77,77,"Angela Cookson, research essay",,,,,,,,,University of Washington Tacoma Community History Project,chp1992-04essay,Text,application/pdf,,,http://rightsstatements.org/page/InC-EDU/1.0/?language=en,,,
tchp78,78,"Curtis Dungey, interview transcript",,,,,,,,,University of Washington Tacoma Community History Project,chp1992-04trascript1,Text,application/pdf,,,http://rightsstatements.org/page/InC-EDU/1.0/?language=en,,,
tchp79,79,"Chuck O'Donahue, interview transcript",,,,,,,,,University of Washington Tacoma Community History Project,chp1992-04trascript2,Text,application/pdf,,,http://rightsstatements.org/page/InC-EDU/1.0/?language=en,,,
tchp80,80,Project bibliography,,,,,,,,,University of Washington Tacoma Community History Project,chp1992-04bibliography,Text,application/pdf,,,http://rightsstatements.org/page/InC-EDU/1.0/?language=en,,,
tchp81,81,History of the Tacoma Smelter and Its Workers,"Dungey, Curtis; O'Donahue, Chuck","Cookson, Angela",1992,"The interviews with both Curtis Dungey and Chuck O'Donahue discuss their association with the Tacoma Smelter and ASARCO. O'Donahue, who worked at the plant for over twenty years (1963-1985), also was active as a union leader for Local 25. Dungey was the senior environmental scientist for ASARCO who oversaw the closure of the plant.","Dungey, Curtis--Interviews; O'Donahue, Chuck--Interviews; American Smelting and Refining Company--History; Asarco Inc.--Employees--Interviews; International Union of Mine, Mill, and Smelter Workers. Local 25 (Tacoma, Wash.); Geochemists--Washington (State)--Tacoma--Interviews; Labor unions--Officials and employees--Interviews; Metal-workers--Washington (State)--Tacoma--Interviews; Mineral industries--Employees--Interviews; Smelting furnaces--Environmental aspects--Washington (State)--Tacoma; Tacoma (Wash.)--Economic conditions",United States--Washington (State)--Tacoma,,,University of Washington Tacoma Community History Project,chp1992-04,image,cpd,,,http://rightsstatements.org/page/InC-EDU/1.0/?language=en,,,
tchp82,82,"Rev. Kosho Yukawa, photograph",,,,,,,,,University of Washington Tacoma Community History Project,chp1992-06photograph1,Image,image/jpg,,,http://rightsstatements.org/page/InC-EDU/1.0/?language=en,,,
tchp83,83,"Yaeko Nakano, photograph",,,,,,,,,University of Washington Tacoma Community History Project,chp1992-06photograph2,Image,image/jpg,,,http://rightsstatements.org/page/InC-EDU/1.0/?language=en,,,
tchp84,84,"Susan Stout, research essay",,,,,,,,,University of Washington Tacoma Community History Project,chp1992-06essay,Text,application/pdf,,,http://rightsstatements.org/page/InC-EDU/1.0/?language=en,,,
tchp85,85,"Rev. Kosho Yukawa, interview transcript",,,,,,,,,University of Washington Tacoma Community History Project,chp1992-06trascript1,Text,application/pdf,,,http://rightsstatements.org/page/InC-EDU/1.0/?language=en,,,
tchp86,86,"Rev. Kosho Yukawa, audio",,,,,,,,,University of Washington Tacoma Community History Project,chp1992-06audio3,Sound,audio/mp3,,,http://rightsstatements.org/page/InC-EDU/1.0/?language=en,,,
tchp87,87,"Yaeko Nakano, interview transcript",,,,,,,,,University of Washington Tacoma Community History Project,chp1992-06trascript2,Text,application/pdf,,,http://rightsstatements.org/page/InC-EDU/1.0/?language=en,,,
tchp88,88,"Yaeko Nakano, audio 1",,,,,,,,,University of Washington Tacoma Community History Project,chp1992-06audio1,Sound,audio/mp3,,,http://rightsstatements.org/page/InC-EDU/1.0/?language=en,,,
tchp89,89,"Yaeko Nakano, audio 2",,,,,,,,,University of Washington Tacoma Community History Project,chp1992-06audio2,Sound,audio/mp3,,,http://rightsstatements.org/page/InC-EDU/1.0/?language=en,,,
tchp90,90,"Tacoma  - 1717 South Fawcett, Tacoma, WA: A Brief Historical Perspective","Yukawa, Kosho; Nakano, Yaeko","Stout, Susan",1992,"This project includes interviews with the then minister of Tacoma Buddhist Temple, Reverend Kosho Yukawa, and Mrs. Yaeko Nakano, a longtime member of Tacoma Buddhist Temple and its principal organist. Yukawa describes Buddhist religious practices, the activities of the Temple and its various organizations, his family, and Sunya Pratt. Nakano discusses her family life growing up as a Japanese American in Tacoma, Washington during the Depression, her education, internment experiences during the Second World War, her training and work as a musician, and her involvement with the Tacoma Buddhist Temple in many capacities.","Yukawa, Kosho--Interviews; Nakano, Yaeko--Interviews; Pratt, Sunya; Buddhist Churches of America; Tacoma Buddhist Church; Tacoma Buddhist Temple; Japanese Americans--Washington (State)--Tacoma--Interviews; Buddhism--Washington (State)--Tacoma; Japanese American women--Washington (State)--Tacoma--Interviews; Japanese Americans--Evacuation and relocation, 1942-1945--Personal narratives; Religious leaders--Washington (State)--Tacoma--Interviews; Women organists--Washington (State)--Tacoma--Interviews; World War, 1939-1945--Washington (State); Tacoma (Wash.)--Ethnic relations--History--20th century; Tacoma (Wash.)--Race relations",United States--Washington (State)--Tacoma,,,University of Washington Tacoma Community History Project,chp1992-06,image,cpd,,,http://rightsstatements.org/page/InC-EDU/1.0/?language=en,,,
tchp91,91,"Leonard Holden, photograph",,,,,,,,,University of Washington Tacoma Community History Project,chp1992-07photograph2,Image,image/jpg,,,http://rightsstatements.org/page/InC-EDU/1.0/?language=en,,,
tchp92,92,"Julius Jahn, photograph",,,,,,,,,University of Washington Tacoma Community History Project,chp1992-07photograph1,Image,image/jpg,,,http://rightsstatements.org/page/InC-EDU/1.0/?language=en,,,
tchp93,93,"Juanita Hembrow, research essay",,,,,,,,,University of Washington Tacoma Community History Project,chp1992-07essay,Text,application/pdf,,,http://rightsstatements.org/page/InC-EDU/1.0/?language=en,,,
tchp94,94,"Leonard Holden, interview transcript",,,,,,,,,University of Washington Tacoma Community History Project,chp1992-07trascript2,Text,application/pdf,,,http://rightsstatements.org/page/InC-EDU/1.0/?language=en,,,
tchp95,95,"Leonard Holden, audio 1",,,,,,,,,University of Washington Tacoma Community History Project,chp1992-07audio1,Sound,audio/mp3,,,http://rightsstatements.org/page/InC-EDU/1.0/?language=en,,,
tchp96,96,"Leonard Holden, audio 2",,,,,,,,,University of Washington Tacoma Community History Project,chp1992-07audio2,Sound,audio/mp3,,,http://rightsstatements.org/page/InC-EDU/1.0/?language=en,,,
tchp97,97,"Leonard Holden, audio 3",,,,,,,,,University of Washington Tacoma Community History Project,chp1992-07audio3,Sound,audio/mp3,,,http://rightsstatements.org/page/InC-EDU/1.0/?language=en,,,
tchp98,98,"Julius Jahn, interview transcript",,,,,,,,,University of Washington Tacoma Community History Project,chp1992-07trascript1,Text,application/pdf,,,http://rightsstatements.org/page/InC-EDU/1.0/?language=en,,,
tchp99,99,"Julius Jahn, audio 1",,,,,,,,,University of Washington Tacoma Community History Project,chp1992-07audio4,Sound,audio/mp3,,,http://rightsstatements.org/page/InC-EDU/1.0/?language=en,,,
tchp100,100,"Julius Jahn, audio 2",,,,,,,,,University of Washington Tacoma Community History Project,chp1992-07audio5,Sound,audio/mp3,,,http://rightsstatements.org/page/InC-EDU/1.0/?language=en,,,
tchp101,101,"Julius Jahn, audio 3",,,,,,,,,University of Washington Tacoma Community History Project,chp1992-07audio6,Sound,audio/mp3,,,http://rightsstatements.org/page/InC-EDU/1.0/?language=en,,,
tchp102,102,Project bibliography,,,,,,,,,University of Washington Tacoma Community History Project,chp1992-07bibliography,Text,application/pdf,,,http://rightsstatements.org/page/InC-EDU/1.0/?language=en,,,
tchp103,103,Tacoma Friends Meeting,"Holden, Leonard W., 1922-1999; Jahn, Julius, 1914-2013","Hembrow, Juanita",1992,"Leonard Holden, founder of the Tacoma Friends Meeting, and Julius Jahn, a long-time member of the Religious Society of Friends, talk about the history of the Quakers and reflect on the personal experiences and revelations that inspired them to become pacifists and Conscientious Objectors. Holden shares his efforts in establishing a permanent Quaker meeting place in the Tacoma area, and Jahn describes his experiences with various Quaker groups and sects throughout the United States. Both men expound on the various services and humanitarian projects that the Tacoma Friends Meeting has been involved in, from draft counseling services to collaborative efforts with other churches to rehabilitate low-income housing.","Tacoma Friends Meeting (Tacoma, Wash.); Holden, Leonard W., 1922-1999--Interviews; Jahn, Julius, 1914-2013--Interviews; Tacoma (Wash.)--Religious life and customs; Quakers--Washington (State)--Tacoma Interviews; Quakers-- Political activity-- Washington (State)--Tacoma; Society of Friends--Washington (State)--Tacoma--History",United States--Washington (State)--Tacoma,,,University of Washington Tacoma Community History Project,chp1992-07,image,cpd,,,http://rightsstatements.org/page/InC-EDU/1.0/?language=en,,,
tchp104,104,"Carrie Bratlie, research essay",,,,,,,,,University of Washington Tacoma Community History Project,chp1993-01essay,Text,application/pdf,,,http://rightsstatements.org/page/InC-EDU/1.0/?language=en,,,
tchp105,105,"James and Randolph Kris, interview transcript",,,,,,,,,University of Washington Tacoma Community History Project,chp1993-01trascript1,Text,application/pdf,,,http://rightsstatements.org/page/InC-EDU/1.0/?language=en,,,
tchp106,106,"James and Randolph Krise, audio",,,,,,,,,University of Washington Tacoma Community History Project,chp1993-01audio1,Sound,audio/mp3,,,http://rightsstatements.org/page/InC-EDU/1.0/?language=en,,,
tchp107,107,"Josephine Peters, interview transcript",,,,,,,,,University of Washington Tacoma Community History Project,chp1993-01trascript2,Text,application/pdf,,,http://rightsstatements.org/page/InC-EDU/1.0/?language=en,,,
tchp108,108,"Josephine Peters, audio",,,,,,,,,University of Washington Tacoma Community History Project,chp1993-01audio2,Sound,audio/mp3,,,http://rightsstatements.org/page/InC-EDU/1.0/?language=en,,,
tchp109,109,"Calvin Peters, interview transcript",,,,,,,,,University of Washington Tacoma Community History Project,chp1993-01trascript3,Text,application/pdf,,,http://rightsstatements.org/page/InC-EDU/1.0/?language=en,,,
tchp110,110,"Calvin Peters, audio",,,,,,,,,University of Washington Tacoma Community History Project,chp1993-01audio3,Sound,audio/mp3,,,http://rightsstatements.org/page/InC-EDU/1.0/?language=en,,,
tchp111,111,"Mark Peters, interview transcript",,,,,,,,,University of Washington Tacoma Community History Project,chp1993-01trascript4,Text,application/pdf,,,http://rightsstatements.org/page/InC-EDU/1.0/?language=en,,,
tchp112,112,"Mark Peters, audio",,,,,,,,,University of Washington Tacoma Community History Project,chp1993-01audio4,Sound,audio/mp3,,,http://rightsstatements.org/page/InC-EDU/1.0/?language=en,,,
tchp113,113,Project bibliography,,,,,,,,,University of Washington Tacoma Community History Project,chp1993-01bibliography,Text,application/pdf,,,http://rightsstatements.org/page/InC-EDU/1.0/?language=en,,,
